order_id,order_date,amount,product_id
10042,2024-02-11,259.98,Fitbit Charge 5
10043,2024-02-12,1199.97,GoPro HERO10 Black
10044,2024-02-13,199.99,Nespresso VertuoPlus
10045,2024-02-14,279.98,Patagonia Better Sweater
10046,2024-02-15,130.0,Becoming by Michelle Obama
10047,2024-02-16,52.0,Clinique Moisture Surge
10048,2024-02-17,239.94,Yeti Rambler Tumbler
10049,2024-02-18,259.98,Kindle Paperwhite
10050,2024-02-19,299.99,Breville Smart Oven
10051,2024-02-20,464.97,Ray-Ban Aviator Sunglasses
10052,2024-02-21,53.98,The Silent Patient by Alex Michaelides
10053,2024-02-22,49.0,Shiseido Ultimate Sun Protector
10054,2024-02-23,249.95,Titleist Pro V1 Golf Balls
10055,2024-02-24,239.96,Anker PowerCore Portable Charger
10056,2024-02-25,499.99,KitchenAid Artisan Stand Mixer
10057,2024-02-26,149.95,Calvin Klein Boxer Briefs
10058,2024-02-27,84.0,Educated by Tara Westover
10059,2024-02-28,46.0,Anastasia Beverly Hills Brow Wiz
10060,2024-02-29,349.0,Hyperice Hypervolt Massager
10061,2024-03-01,899.97,Nintendo Switch
10062,2024-03-02,399.98,Philips Airfryer XXL
10063,2024-03-03,99.9,Hanes ComfortSoft T-Shirt
10064,2024-03-04,75.96,Where the Crawdads Sing by Delia Owens
10065,2024-03-05,102.0,Lancome La Vie Est Belle
10066,2024-03-06,599.98,Garmin Edge 530
10067,2024-03-07,1199.99,Samsung QLED 4K TV
10068,2024-03-08,659.97,Eufy RoboVac 11S
10069,2024-03-09,239.96,Puma Suede Classic Sneakers
10070,2024-03-10,21.98,The Great Gatsby by F. Scott Fitzgerald
10071,2024-03-11,78.0,Drunk Elephant C-Firma Day Serum
10072,2024-03-12,389.97,Nike Metcon 6
10073,2024-03-13,1599.99,HP Spectre x360 Laptop
10074,2024-03-14,899.99,De'Longhi Magnifica Espresso Machine
10075,2024-03-15,249.95,Tommy Hilfiger Polo Shirt
10076,2024-03-16,59.96,To Kill a Mockingbird by Harper Lee
10077,2024-03-17,32.0,Glossier Boy Brow
10078,2024-03-18,209.97,Rogue Fitness Kettlebell
10079,2024-03-19,499.98,Apple AirPods Pro
10080,2024-03-20,499.99,Dyson Pure Cool Link
10081,2024-03-21,179.98,Levi's Trucker Jacket
10082,2024-03-22,38.97,The Hobbit by J.R.R. Tolkien
10083,2024-03-23,100.0,Charlotte Tilbury Magic Cream
10084,2024-03-24,149.94,Spalding NBA Street Basketball
10085,2024-03-25,99.99,Ring Video Doorbell
10086,2024-03-26,2599.98,LG OLED TV
10087,2024-03-27,239.97,Uniqlo Ultra Light Down Jacket
10088,2024-03-28,55.96,The Catcher in the Rye by J.D. Salinger
10089,2024-03-29,105.0,Sunday Riley Good Genes
10090,2024-03-30,259.98,On Running Cloud Shoes
10091,2024-03-31,199.98,Logitech MX Master 3 Mouse
10092,2024-04-01,179.99,Instant Pot Duo Crisp
10093,2024-04-02,319.96,Adidas Originals Superstar Sneakers
10094,2024-04-03,44.97,The Alchemist by Paulo Coelho
10095,2024-04-04,68.0,Tatcha The Water Cream
10096,2024-04-05,999.99,Garmin Fenix 6X Pro
10097,2024-04-06,899.97,Bose SoundLink Revolve+ Speaker
10098,2024-04-07,349.99,Vitamix Explorian Blender
10099,2024-04-08,119.94,Gap Essential Crewneck T-Shirt
10100,2024-04-09,25.98,The Power of Now by Eckhart Tolle
10101,2024-04-10,82.0,Kiehl's Midnight Recovery Concentrate
10102,2024-04-11,219.98,Under Armour HOVR Sonic 4 Shoes
10103,2024-04-12,3899.99,Canon EOS R5 Camera
10104,2024-04-13,699.98,Shark IQ Robot Vacuum
10105,2024-04-14,119.97,H&M Slim Fit Jeans
10106,2024-04-15,43.96,The Girl on the Train by Paula Hawkins
10107,2024-04-16,6.5,The Ordinary Niacinamide Serum
10108,2024-04-17,399.99,Bowflex SelectTech 552 Dumbbells
10109,2024-04-18,459.98,Google Nest Hub Max
10110,2024-04-19,159.99,Cuisinart Griddler Deluxe
10111,2024-04-20,59.96,Old Navy Relaxed-Fit T-Shirt
10112,2024-04-21,37.98,Sapiens: A Brief History of Humankind by Yuval Noah Harari
10113,2024-04-22,15.0,Biore UV Aqua Rich Watery Essence Sunscreen
10114,2024-04-23,689.85,Fitbit Versa 3
10115,2024-04-24,249.99,Amazon Echo Show 10
10116,2024-04-25,599.9,Breville Smart Grill
10117,2024-04-26,149.97,Gap High Rise Skinny Jeans
10118,2024-04-27,67.96,Atomic Habits by James Clear
10119,2024-04-28,29.98,CeraVe Hydrating Facial Cleanser
10120,2024-04-29,249.99,YETI Hopper Flip Portable Cooler
10121,2024-04-30,1199.98,Apple iPad Air
10122,2024-05-01,89.99,Hamilton Beach FlexBrew Coffee Maker
10123,2024-05-02,64.95,Forever 21 Graphic Tee
10124,2024-05-03,44.97,The Subtle Art of Not Giving a F*ck by Mark Manson
10125,2024-05-04,30.0,NARS Radiant Creamy Concealer
10126,2024-05-05,199.99,Yeti Roadie 24 Cooler
10127,2024-05-06,499.99,Sony PlayStation 5
10128,2024-05-07,799.98,Dyson Supersonic Hair Dryer
10129,2024-05-08,294.0,Lululemon Align Leggings
10130,2024-05-09,17.98,The Four Agreements by Don Miguel Ruiz
10131,2024-05-10,36.0,Fenty Beauty Killawatt Highlighter
10132,2024-05-11,159.8,Hydro Flask Wide Mouth Water Bottle
10133,2024-05-12,1299.99,Microsoft Surface Laptop 4
10134,2024-05-13,159.98,Keurig K-Mini Coffee Maker
10135,2024-05-14,139.96,Gap Crewneck Sweatshirt
10136,2024-05-15,29.97,Think and Grow Rich by Napoleon Hill
10137,2024-05-16,6.8,The Ordinary Hyaluronic Acid Serum
10138,2024-05-17,199.9,Fitbit Inspire 2
10139,2024-05-18,1499.99,Samsung Odyssey G9 Gaming Monitor
10140,2024-05-19,139.99,Instant Pot Ultra
10141,2024-05-20,134.97,Adidas Essential Track Pants
10142,2024-05-21,23.98,The Power of Habit by Charles Duhigg
10143,2024-05-22,29.5,Clinique Dramatically Different Moisturizing Lotion
10144,2024-05-23,299.99,YETI Tundra 45 Cooler
10145,2024-05-24,549.0,Apple AirPods Max
10146,2024-05-25,399.9,Cuisinart Coffee Center
10147,2024-05-26,196.0,Levi's Sherpa Trucker Jacket
10148,2024-05-27,32.97,The Outsiders by S.E. Hinton
10149,2024-05-28,25.0,Laneige Water Sleeping Mask
10150,2024-05-29,299.98,Bose SoundSport Wireless Earbuds
10151,2024-05-30,349.99,Sony WH-1000XM4 Headphones
10152,2024-05-31,399.98,Ninja Foodi Pressure Cooker
10153,2024-06-01,164.97,Nike Sportswear Club Fleece Hoodie
10154,2024-06-02,33.98,The Night Circus by Erin Morgenstern
10155,2024-06-03,59.0,GlamGlow Supermud Clearing Treatment
10156,2024-06-04,299.99,Garmin Forerunner 245
10157,2024-06-05,899.99,Google Pixel 6 Pro
10158,2024-06-06,499.95,Breville Nespresso Creatista Plus
10159,2024-06-07,99.96,Under Armour Tech 2.0 T-Shirt
10160,2024-06-08,23.97,The Art of War by Sun Tzu
10161,2024-06-09,36.0,Youth to the People Superfood Antioxidant Cleanser
10162,2024-06-10,69.98,TriggerPoint GRID Foam Roller
10163,2024-06-11,1199.99,Apple MacBook Air
10164,2024-06-12,199.99,Cuisinart Custom 14-Cup Food Processor
10165,2024-06-13,149.95,Adidas 3-Stripes Shorts
10166,2024-06-14,35.96,The Hunger Games by Suzanne Collins
10167,2024-06-15,16.99,Neutrogena Hydro Boost Water Gel
10168,2024-06-16,149.97,Yeti Rambler Bottle
10169,2024-06-17,699.99,Samsung Odyssey G7 Gaming Monitor
10170,2024-06-18,279.98,Instant Pot Duo Evo Plus
10171,2024-06-19,104.97,Nike Tempo Running Shorts
10172,2024-06-20,19.98,The Girl with the Dragon Tattoo by Stieg Larsson
10173,2024-06-21,29.5,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant
10174,2024-06-22,699.99,Bowflex SelectTech 1090 Adjustable Dumbbells
10175,2024-06-23,149.97,Amazon Fire TV Stick 4K
10176,2024-06-24,99.98,Crock-Pot 6-Quart Slow Cooker
10177,2024-06-25,59.6,Uniqlo Airism Mesh Boxer Briefs
10178,2024-06-26,35.97,The Sun Also Rises by Ernest Hemingway
10179,2024-06-27,68.0,First Aid Beauty Ultra Repair Cream
10180,2024-06-28,146.0,Oakley Holbrook Sunglasses
10181,2024-06-29,649.99,Google Pixelbook Go
10182,2024-06-30,399.99,Dyson V8 Absolute
10183,2024-07-01,179.97,Levi's 511 Slim Fit Jeans
10184,2024-07-02,25.98,The Martian by Andy Weir
10185,2024-07-03,190.0,La Mer Crème de la Mer Moisturizer
10186,2024-07-04,499.95,Polar Vantage V2
10187,2024-07-05,399.0,Sonos Beam Soundbar
10188,2024-07-06,398.0,Anova Precision Cooker
10189,2024-07-07,139.96,Nike Dri-FIT Training Shorts
10190,2024-07-08,32.97,The Catcher in the Rye by J.D. Salinger
10191,2024-07-09,18.0,Glossier Cloud Paint
10192,2024-07-10,169.95,TRX All-in-One Suspension Training System
10193,2024-07-11,199.99,Logitech G Pro X Wireless Gaming Headset
10194,2024-07-12,199.95,Breville Smart Coffee Grinder Pro
10195,2024-07-13,359.98,Adidas Ultraboost Running Shoes
10196,2024-07-14,23.98,The Road by Cormac McCarthy
10197,2024-07-15,125.0,Tom Ford Black Orchid Perfume
10198,2024-07-16,449.99,GoPro HERO9 Black
10199,2024-07-17,358.0,Apple TV 4K
10200,2024-07-18,99.95,Instant Pot Duo Nova
10201,2024-07-19,179.97,Gap 1969 Original Fit Jeans
10202,2024-07-20,29.98,The Goldfinch by Donna Tartt
10203,2024-07-21,52.0,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment
10204,2024-07-22,399.99,Yeti Tundra Haul Portable Wheeled Cooler
10205,2024-07-23,299.99,Samsung Galaxy Watch 4
10206,2024-07-24,379.99,KitchenAid Stand Mixer
10207,2024-07-25,196.0,Lululemon Wunder Under High-Rise Leggings
10208,2024-07-26,50.97,The Great Alone by Kristin Hannah
10209,2024-07-27,79.0,Caudalie Vinoperfect Radiance Serum
10210,2024-07-28,129.0,Bose SoundLink Color Bluetooth Speaker II
10211,2024-07-29,749.99,Canon EOS Rebel T7i DSLR Camera
10212,2024-07-30,339.98,Keurig K-Elite Coffee Maker
10213,2024-07-31,39.6,Uniqlo Airism Seamless Boxer Briefs
10214,2024-08-01,32.97,The Girl with the Dragon Tattoo by Stieg Larsson
10215,2024-08-02,58.0,L'Occitane Shea Butter Hand Cream
10216,2024-08-03,349.99,YETI Tundra 65 Cooler
10217,2024-08-04,2399.0,Apple MacBook Pro 16-inch
10218,2024-08-05,449.99,iRobot Braava Jet M6
10219,2024-08-06,149.97,Champion Reverse Weave Hoodie
10220,2024-08-07,25.98,The Nightingale by Kristin Hannah
10221,2024-08-08,27.0,Tarte Shape Tape Concealer
10222,2024-08-09,599.99,Garmin Forerunner 945
10223,2024-08-10,199.96,Amazon Echo Dot (4th Gen)
10224,2024-08-11,459.98,Philips Sonicare DiamondClean Toothbrush
10225,2024-08-12,89.98,Old Navy Mid-Rise Rockstar Super Skinny Jeans
10226,2024-08-13,80.97,The Silent Patient by Alex Michaelides
10227,2024-08-14,6.7,The Ordinary Caffeine Solution 5% + EGCG
10228,2024-08-15,299.9,Fitbit Luxe
10229,2024-08-16,169.0,Google Nest Wifi Router
10230,2024-08-17,599.0,Anova Precision Oven
10231,2024-08-18,259.96,Adidas Originals Trefoil Hoodie
10232,2024-08-19,19.98,Dune by Frank Herbert
10233,2024-08-20,24.0,Fresh Sugar Lip Treatment
10234,2024-08-21,98.85,Hydro Flask Standard Mouth Water Bottle
10235,2024-08-22,299.0,Bose QuietComfort 35 II Wireless Headphones
10236,2024-08-23,159.99,Nespresso Vertuo Next Coffee and Espresso Maker
10237,2024-08-24,270.0,Nike Air Force 1 Sneakers
10238,2024-08-25,32.97,The Handmaid's Tale by Margaret Atwood
10239,2024-08-26,55.0,Sunday Riley Luna Sleeping Night Oil
10240,2024-08-27,59.98,Yeti Rambler 20 oz Tumbler
